-99,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
23,1.59E-05,3.00E-05,4.36E-05,5.69E-05,6.97E-05,8.23E-05,9.45E-05,0.000106364,0.000117967,0.000129296,0.000140365,0.000151187,0.000161779,0.00017215,0.000182315,0.000192284,0.000202067,0.000211675,0.000221116,0.000230398,0.000239528,0.000248515,0.000257363,0.000266079,0.000274666,0.00028313
24,1.90E-05,3.30E-05,4.65E-05,5.97E-05,7.25E-05,8.49E-05,9.71E-05,0.000108884,0.00012041,0.000131661,0.000142653,0.000153401,0.000163918,0.000174216,0.000184309,0.000194206,0.000203918,0.000213455,0.000222826,0.000232039,0.000241102,0.000250021,0.000258802,0.000267451,0.000275973,0.000284372
25,2.21E-05,3.60E-05,4.95E-05,6.25E-05,7.52E-05,8.76E-05,9.97E-05,0.000111393,0.00012284,0.000134015,0.000144931,0.000155604,0.000166047,0.000176272,0.000186292,0.000196118,0.000205759,0.000215227,0.000224528,0.000233673,0.000242667,0.000251519,0.000260234,0.000268817,0.000277273,0.000285606
26,2.52E-05,3.90E-05,5.24E-05,6.54E-05,7.80E-05,9.03E-05,0.000102231,0.00011389,0.00012526,0.000136358,0.000147198,0.000157797,0.000168166,0.000178318,0.000188266,0.00019802,0.000207591,0.000216989,0.000226222,0.000235298,0.000244225,0.000253009,0.000261657,0.000270174,0.000278565,0.000286834
27,2.83E-05,4.20E-05,5.52E-05,6.82E-05,8.07E-05,9.29E-05,0.000104795,0.000116375,0.000127668,0.000138689,0.000149455,0.000159979,0.000170274,0.000180354,0.00019023,0.000199914,0.000209415,0.000218743,0.000227907,0.000236915,0.000245774,0.000254492,0.000263074,0.000271525,0.000279851,0.000288055
28,3.13E-05,4.49E-05,5.81E-05,7.09E-05,8.34E-05,9.55E-05,0.000107347,0.000118849,0.000130065,0.00014101,0.000151701,0.000162151,0.000172373,0.000182381,0.000192185,0.000201798,0.000211229,0.000220488,0.000229583,0.000238523,0.000247316,0.000255966,0.000264482,0.000272868,0.000281129,0.000289268
29,3.43E-05,4.79E-05,6.10E-05,7.37E-05,8.61E-05,9.82E-05,0.000109888,0.000121312,0.000132451,0.000143321,0.000153936,0.000164312,0.000174462,0.000184397,0.000194131,0.000203673,0.000213034,0.000222224,0.000231251,0.000240124,0.000248849,0.000257434,0.000265883,0.000274204,0.0002824,0.000290475
30,3.74E-05,5.08E-05,6.38E-05,7.65E-05,8.88E-05,0.000100769,0.000112416,0.000123763,0.000134826,0.00014562,0.000156162,0.000166464,0.000176541,0.000186405,0.000196067,0.000205539,0.000214831,0.000223952,0.000232911,0.000241716,0.000250375,0.000258893,0.000267277,0.000275533,0.000283664,0.000291675
Coefficient of thermal expansion in in W C-1 m-1,,,,,,,,,,,,,,,,,,,,,,,,,,
Salinity (g kg-1),Temperature in degC,,,,,,,,,,,,,,,,,,,,,,,,,
